                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.62124,                0.42694,                  1.154,                 1.0321,                0.85176,                0.82043,                 0.8182,                0.54056,                0.85176,                0.82043,                 0.8182,                0.52486,                  1.054,                 1.0519,                 1.5826,                 1.3201,             0.00049527,             0.00049527,             0.00049527
                     74,                0.57402,                0.39921,                0.82879,                0.97093,                0.86036,                0.84269,                0.82335,                0.57451,                0.86036,                0.84269,                0.82335,                0.56458,                 0.9498,                 1.0048,                 1.4729,                 1.2194,             0.00047876,             0.00047876,             0.00047876
                     75,                0.54366,                 0.3566,                0.77902,                0.93208,                0.85713,                0.84722,                0.84293,                0.63923,                0.85713,                0.84722,                0.82339,                0.61175,                0.87361,                0.91878,                 1.4476,                 1.1636,             0.00046226,             0.00046226,             0.00046226
                     76,                0.50832,                0.53166,                0.74444,                 0.9053,                0.76168,                0.88889,                0.85892,                0.65906,                0.90318,                0.80112,                0.86691,                 0.6212,                0.87686,                0.86603,                 1.3999,                 1.1559,             0.00044576,             0.00044576,             0.00044576
                     77,                0.61059,                0.40313,                0.72171,                0.94077,                0.76168,                0.88889,                0.85892,                0.65906,                0.90318,                0.80112,                0.86691,                 0.6212,                0.87686,                0.86603,                 1.3999,                 1.1559,             0.00042925,             0.00042925,             0.00042925
                     78,                0.56338,                0.57893,                0.79832,                0.92517,                0.84964,                   0.75,                0.87113,                0.64544,                0.84964,                   0.75,                0.83667,                0.61581,                0.91199,                0.89945,                  1.417,                 1.1824,             0.00041275,             0.00041275,             0.00041275
                     79,                 0.5112,                0.44682,                0.79507,                0.98669,                0.88572,                0.83333,                0.90769,                 0.6603,                0.88572,                0.83333,                0.90769,                0.64122,                0.95464,                0.89347,                  1.355,                 1.2256,             0.00039625,             0.00039625,             0.00039625
                     80,                0.59533,                 0.4185,                 0.7666,                0.92613,                0.87727,                0.85854,                0.93185,                0.63775,                0.87727,                0.85854,                0.93185,                  0.648,                0.97418,                0.88677,                 1.3355,                 1.2377,             0.00037974,             0.00037974,             0.00037974
                     81,                 0.4564,                0.40757,                 1.9199,                0.88086,                0.87727,                0.85854,                0.93185,                0.63775,                0.87727,                0.85854,                0.93185,                  0.648,                0.97418,                0.88677,                 1.3355,                 1.2377,             0.00036324,             0.00036324,             0.00036324
                     82,                0.59364,                0.46195,                 1.0409,                0.93334,                0.92265,                0.84129,                0.93084,                0.61696,                0.92265,                0.84129,                0.93084,                0.61783,                0.98817,                0.83948,                 1.3536,                 1.2511,             0.00034674,             0.00034674,             0.00034674
